## window/bin size 1000000 bp
## assemblyID	chromID	position	averageProbability
SODLb	chr7	0.0	50.871913250715124
SODLb	chr7	1000000.0	38.957799046681906
SODLb	chr7	2000000.0	92.55137090581445
SODLb	chr7	3000000.0	83.0564396462618
SODLb	chr7	4000000.0	82.59223375706262
SODLb	chr7	5000000.0	80.87049201553806
SODLb	chr7	6000000.0	85.47646478550203
SODLb	chr7	7000000.0	85.66783310253574
SODLb	chr7	8000000.0	86.32562350340781
SODLb	chr7	9000000.0	87.06606807511822
SODLb	chr7	10000000.0	84.16546087067532
SODLb	chr7	11000000.0	86.9893448891161
SODLb	chr7	12000000.0	87.65378999228425
SODLb	chr7	13000000.0	86.20860681311753
SODLb	chr7	14000000.0	92.74664159789174
SODLb	chr7	15000000.0	93.2983874210237
SODLb	chr7	16000000.0	90.9166999888938
SODLb	chr7	17000000.0	90.89946985634532
SODLb	chr7	18000000.0	90.8474509574296
SODLb	chr7	19000000.0	89.72773462243845
SODLb	chr7	20000000.0	90.5754867477397
SODLb	chr7	21000000.0	91.50365332548645
SODLb	chr7	22000000.0	89.85134080392618
SODLb	chr7	23000000.0	90.95005361930406
SODLb	chr7	24000000.0	93.08483759185205
SODLb	chr7	25000000.0	91.02055537720817
SODLb	chr7	26000000.0	90.6307536572635
SODLb	chr7	27000000.0	91.13024955599147
SODLb	chr7	28000000.0	92.34464314878424
SODLb	chr7	29000000.0	91.44674298008502
SODLb	chr7	30000000.0	93.4175966243886
SODLb	chr7	31000000.0	91.89702166065075
SODLb	chr7	32000000.0	92.46591778412966
SODLb	chr7	33000000.0	91.36022474216328
SODLb	chr7	34000000.0	92.64903966402407
SODLb	chr7	35000000.0	94.14526345147337
SODLb	chr7	36000000.0	94.37889276156513
SODLb	chr7	37000000.0	94.37693004295886
SODLb	chr7	38000000.0	94.65181054298898
SODLb	chr7	39000000.0	94.43296037223614
SODLb	chr7	40000000.0	91.55158352744813
SODLb	chr7	41000000.0	93.0094764962522
SODLb	chr7	42000000.0	91.89035242053085
SODLb	chr7	43000000.0	91.29283664400106
SODLb	chr7	44000000.0	92.02312704106323
SODLb	chr7	45000000.0	90.96542806556724
SODLb	chr7	46000000.0	92.19430749199911
SODLb	chr7	47000000.0	91.43963961140858
SODLb	chr7	48000000.0	92.088859961634
SODLb	chr7	49000000.0	91.0286060944584
SODLb	chr7	50000000.0	89.9360696406724
SODLb	chr7	51000000.0	91.5716855400717
SODLb	chr7	52000000.0	90.49644371559238
SODLb	chr7	53000000.0	90.58736508931447
SODLb	chr7	54000000.0	88.65080385852154
SODLb	chr7	55000000.0	88.68699604743186
SODLb	chr7	56000000.0	89.86775899735639
SODLb	chr7	57000000.0	88.87125319838628
SODLb	chr7	58000000.0	89.09113250541236
SODLb	chr7	59000000.0	88.24707183298027
SODLb	chr7	60000000.0	88.24787643502907
SODLb	chr7	61000000.0	87.71339199903976
SODLb	chr7	62000000.0	84.07597639043942
SODLb	chr7	63000000.0	85.37167033883213
SODLb	chr7	64000000.0	83.12742765685076
SODLb	chr7	65000000.0	83.39688682490643
SODLb	chr7	66000000.0	75.66184501090532
SODLb	chr7	67000000.0	81.90062492061564
SODLb	chr7	68000000.0	80.36321756097578
SODLb	chr7	69000000.0	80.1834775619561
SODLb	chr7	70000000.0	82.486521499014
