## window/bin size 1000000 bp
## assemblyID	chromID	position	observed_vs_expected	gc_content
SODLb	chr7	0	0.9606870505528512	0.42180231971759957
SODLb	chr7	1000000	0.8131590053558366	0.3636609657947686
SODLb	chr7	2000000	0.8400055018820648	0.37841482965931866
SODLb	chr7	3000000	0.6331184028573422	0.331721
SODLb	chr7	4000000	0.5926018488871507	0.309165
SODLb	chr7	5000000	0.5652249820835634	0.313664
SODLb	chr7	6000000	0.6226174481547219	0.334695
SODLb	chr7	7000000	0.6208967028867172	0.327118
SODLb	chr7	8000000	0.6089372985000794	0.327099
SODLb	chr7	9000000	0.6122213038361741	0.333694
SODLb	chr7	10000000	0.5642572980577721	0.333301
SODLb	chr7	11000000	0.5622150486388553	0.334184
SODLb	chr7	12000000	0.5889363695866591	0.338323
SODLb	chr7	13000000	0.5803118581795882	0.329031
SODLb	chr7	14000000	0.6584006715329049	0.352717
SODLb	chr7	15000000	0.6622633615158949	0.355231
SODLb	chr7	16000000	0.6032242135012978	0.3458878878878879
SODLb	chr7	17000000	0.5957205813880534	0.334286
SODLb	chr7	18000000	0.6075399521147092	0.335333
SODLb	chr7	19000000	0.6040136474287623	0.345232
SODLb	chr7	20000000	0.5784391774535939	0.332998
SODLb	chr7	21000000	0.5774327396811572	0.343067
SODLb	chr7	22000000	0.6162536583915437	0.341214
SODLb	chr7	23000000	0.5715778140597894	0.33503
SODLb	chr7	24000000	0.7388787304189414	0.3605952976488244
SODLb	chr7	25000000	0.6290963076778594	0.344736
SODLb	chr7	26000000	0.5703841538527825	0.327703
SODLb	chr7	27000000	0.6966465009727909	0.355084
SODLb	chr7	28000000	0.6205801111290329	0.344094
SODLb	chr7	29000000	0.5893527563357731	0.3508
SODLb	chr7	30000000	0.6354449174168949	0.35505
SODLb	chr7	31000000	0.6043453126137579	0.342552
SODLb	chr7	32000000	0.6025730487916909	0.347555
SODLb	chr7	33000000	0.6208737041526186	0.354344
SODLb	chr7	34000000	0.6546061619294863	0.361875
SODLb	chr7	35000000	0.650828262341951	0.378594
SODLb	chr7	36000000	0.6597934973187163	0.441641
SODLb	chr7	37000000	0.6588811421764054	0.471088
SODLb	chr7	38000000	0.6572430381981844	0.488254
SODLb	chr7	39000000	0.6667784233639804	0.438656
SODLb	chr7	40000000	0.6372603936055768	0.377921
SODLb	chr7	41000000	0.6411887231427605	0.3569744872436218
SODLb	chr7	42000000	0.6129396004000814	0.347742
SODLb	chr7	43000000	0.6017040416642018	0.35238
SODLb	chr7	44000000	0.6100289589064924	0.350069
SODLb	chr7	45000000	0.5923932273744069	0.343841
SODLb	chr7	46000000	0.6080303326625169	0.348232
SODLb	chr7	47000000	0.6334197034524512	0.347715
SODLb	chr7	48000000	0.606721250120965	0.346823
SODLb	chr7	49000000	0.5742577945349425	0.335041
SODLb	chr7	50000000	0.6006114406874612	0.346023
SODLb	chr7	51000000	0.6095091147616676	0.347199
SODLb	chr7	52000000	0.5955053329772422	0.33866
SODLb	chr7	53000000	0.575864654388289	0.332915
SODLb	chr7	54000000	0.5937287547572836	0.330079
SODLb	chr7	55000000	0.5769602626089823	0.335063
SODLb	chr7	56000000	0.5890020431607905	0.343694
SODLb	chr7	57000000	0.5912299424446973	0.344959
SODLb	chr7	58000000	0.6041565617919544	0.340922
SODLb	chr7	59000000	0.6073253232422788	0.334185
SODLb	chr7	60000000	0.610396635167516	0.343743
SODLb	chr7	61000000	0.5957354640090176	0.334339
SODLb	chr7	62000000	0.5974581216213743	0.337644
SODLb	chr7	63000000	0.5978757609148841	0.335233
SODLb	chr7	64000000	0.5851239568620247	0.326774
SODLb	chr7	65000000	0.6054879542037428	0.339462
SODLb	chr7	66000000	0.5855947191425843	0.316585
SODLb	chr7	67000000	0.6193280656656495	0.318908
SODLb	chr7	68000000	0.6436984283443725	0.309122
SODLb	chr7	69000000	0.6436504083586989	0.304613
SODLb	chr7	70000000.0	0.6453384159709509	0.3311975760776656
